,Score,sentence,Sentiment
2311,-2,rt more than indians to lose job in next months due to badly planned demonetization by modi govt,Negative
2312,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2313,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2314,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2315,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2316,1,rt currency ban   roll back demonetization it has caused riot like situation   the times of india on mobile t co ad a  ,Positive
2317,-2,rt more than indians to lose job in next months due to badly planned demonetization by modi govt,Negative
2318,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2319,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2320,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2321,0,rt l amp t is retrenching employees hope none of the supporters of demonetization are included,Neutral
2322,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2323,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2324,1,rt putting nation over party politics nitishkumar supports pm on demonetization t co uodwxdpmmg,Positive
2325,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2326,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2327,-2,rt more than indians to lose job in next months due to badly planned demonetization by modi govt,Negative
2328,0,rt dy cm detaiend at parliament street police station as they march to parliament against demonetization not  ,Neutral
2329,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2330,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2331,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2332,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2333,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2334,-1,rt demonetization is the nd word trending after intolerance thanks pappu kejri mamta vishaljansabha khulkedulke ind  ,Negative
2335,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2336,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2337,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2338,-2,rt today again demonetization debate in parlmnt stalled due to disruption ed u a u bd ed u b u i dont undrstnd why oppstn wants to stall its ow  ,Negative
2339,1,rt hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm  ,Positive
2340,-1,rt demonetization is the nd word trending after intolerance thanks pappu kejri mamta vishaljansabha khulkedulke ind  ,Negative
2341,1,hitler finds out about demonetization must watch this video hilarious read the subtitles t co waiamp wyb namo paytm jio,Positive
2342,-1,rt demonetization is the nd word trending after intolerance thanks pappu kejri mamta vishaljansabha khulkedulke ind  ,Negative
2343,1,hitler finds out about demonetization must watch this video hilarious read the subtitles t co rng gkiugm namo paytm jio,Positive
2344,1,rt huge support for pm narendramodii   s demonetization move across the nation people back demonetization c voter  ,Positive
2345,0,rt have a look at what foreign media has to say on demonetization move of pm t co dl xqxcyf,Neutral
2346,0,demonetization now affecting even the dumb rich who now have to use public transport t co rw wzat o,Neutral
2347,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2348,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2349,0,rt l amp t is retrenching employees hope none of the supporters of demonetization are included,Neutral
2350,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2351,1,rt huge support for pm narendramodii   s demonetization move across the nation people back demonetization c voter  ,Positive
2352,0,with billion bank notes discarded from economy if kept side by side these notes will go from east west of india demonetization,Neutral
2353,0,u b k per jandhanaccount the capacity to transform black money in to clean money is u b lacs crs this demonetization is poor in logic,Neutral
2354,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2355,0,rt can t say anything about productivity but creativity has increased after demonetization t co fmh umbvq,Neutral
2356,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2357,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2358,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2359,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2360,-1,demonetization is the nd word trending after intolerance thanks pappu kejri mamta vishaljansabha khulkedulke indiakadil,Negative
2361,0,rt watch what thinks about demonetization t co vxt c zy,Neutral
2362,0,l amp t is retrenching employees hope none of the supporters of demonetization are included,Neutral
2363,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2364,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2365,3,has demonetization helped the people of this nation here are the results of our cashmeifyoucan survey we would like to thank our respond  ,Positive
2366,-1,rahul gandhi says demonetization is the biggest scam coalgate lol g spectrum lmao commonwealth rofl,Negative
2367,1,rt huge support for pm narendramodii   s demonetization move across the nation people back demonetization c voter  ,Positive
2368,4,rt the rich and the elite lived in homes like these good thing demonetization didn t happen back   t co mkntlhcucl,Positive
2369,-1,rt man ends life over fund shortage ahead of daughter  s wedding in gujarat demonetization t co uc jrbvune   ,Negative
2370,0,just took this picture pigeons ready to board aircrafts at the kolkata airport heading to delhi to protest against   t co vipbl w cf,Neutral
2371,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2372,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2373,0,rt demonetization some thoughts weeks over after that pm speech lines hv reduced at banks for exchange atms h  ,Neutral
2374,-2,sheer fear mongering preposterous journalism every survey indicates more than of india has accepted demonetization,Negative
2375,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2376,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2377,1,rt the mic of a bsp leader was snatched away from him as he started praising modiji for his demonetization move during mayawati  ,Positive
2378,-1,political parties are the worst hit by demonetization amp now organising protest day public appears to be calm amp queuing silently at banks,Negative
2379,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2380,0,rt demonetization announcements by t co heteyum ch,Neutral
2381,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2382,-2,rt unable to withdraw money for exam fees teen hangs himself demonetization t co iiielpllf t co mmgps uo,Negative
2383,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2384,0,rt indore s collector would like you to shut up about demonetization at we think that is a problem   ,Neutral
2385,0,rt indore s collector would like you to shut up about demonetization at we think that is a problem   ,Neutral
2386,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2387,-3,rt difficult to verify but if true points to orchestrated campaign to discredit demonetization with paid fear mongers htt  ,Negative
2388,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2389,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2390,0,demonetization dmk humanchains tamilnadu dmk to hold human chains against demonetization on th november t co ibgygaidyc,Neutral
2391,-1,bharuch city in min u can do both deposit n withdrawal noquee just fuss by politicians demonetization,Negative
2392,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
2393,-1,rt man ends life over fund shortage ahead of daughter  s wedding in gujarat demonetization t co uc jrbvune   ,Negative
2394,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2395,0,the short term impact of demonetization on stock broking amp insurance is negative but positive in the long term    t co y nfgl wjj,Neutral
2396,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2397,0,says the man who dsnt know the difference between shitting and film making demonetization indiafightscorruption,Neutral
2398,-1,when the common people are supporting demonetization there is absolutely no reason for protest by opposition parties,Negative
2399,-1,rt man ends life over fund shortage ahead of daughter  s wedding in gujarat demonetization t co uc jrbvune   ,Negative
2400,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2401,-1,rt man ends life over fund shortage ahead of daughter  s wedding in gujarat demonetization t co uc jrbvune   ,Negative
2402,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2403,-1,rt man ends life over fund shortage ahead of daughter  s wedding in gujarat demonetization t co uc jrbvune   ,Negative
2404,1,central officials led kumaralok arrived tripura to assess the situation on the ground after the demonetization of high value notes,Positive
2405,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2406,1,rt delhiites least affected by demonetization amp long queues at atms they are doing online transactions with free wi fi  ,Positive
2407,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2408,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2409,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2410,4,the rich and the elite lived in homes like these good thing demonetization didn t happen back   t co mkntlhcucl,Positive
2411,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2412,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2413,1,rt putting nation over party politics nitishkumar supports pm on demonetization t co uodwxdpmmg,Positive
2414,0,rt demonetization announcements by t co heteyum ch,Neutral
2415,-1,samajwadi party s jaya bachchan and aap join tmc protest against demonetization at jantar mantar t co pfmquk lh,Negative
2416,-1,lakh crore rupees blackmoney collected so far with demonetization amp congress is protesting at gandhi statue they re shaming mahatma,Negative
2417,-1,i personally think that s decision for demonetization is a great decision so why these opposition parties are protesting,Negative
2418,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2419,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2420,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2421,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2422,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2423,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2424,0,rt demonetization announcements by t co heteyum ch,Neutral
2425,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2426,0,rt critical question was paytm informed about demonetization edict by pm it s clearly fishy and requires full disclosure amp   ,Neutral
2427,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2428,0,rt demonetization announcements by t co heteyum ch,Neutral
2429,0,rt demonetization announcements by t co heteyum ch,Neutral
2430,0,hope they give away the cash before deposits p demonetization notebandi t co kbzhvdtf,Neutral
2431,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2432,0,change is good demonetization oh wait where the fuck is the change demonetisationdisaster demonetizationeffect,Neutral
2433,-1,all political leaders who oppose demonetization don t suggest any solutions why do they want a roll back,Negative
2434,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2435,0,rt demonetization announcements by t co heteyum ch,Neutral
2436,0,rt demonetization announcements by t co heteyum ch,Neutral
2437,0,rt demonetization announcements by t co heteyum ch,Neutral
2438,0,rt demonetization announcements by t co heteyum ch,Neutral
2439,0,rt demonetization announcements by t co heteyum ch,Neutral
2440,0,rt demonetization announcements by t co heteyum ch,Neutral
2441,0,rt demonetization announcements by t co heteyum ch,Neutral
2442,0,rt demonetization announcements by t co heteyum ch,Neutral
2443,0,rt demonetization announcements by t co heteyum ch,Neutral
2444,0,rt demonetization announcements by t co heteyum ch,Neutral
2445,0,rt demonetization announcements by t co heteyum ch,Neutral
2446,0,rt demonetization announcements by t co heteyum ch,Neutral
2447,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2448,0,rt demonetization announcements by t co heteyum ch,Neutral
2449,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2450,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2451,1,rt huge support for pm narendramodii   s demonetization move across the nation people back demonetization c voter  ,Positive
2452,-1,whos millions u b turns raddi or scrap in few mins r observing aakroshdin u u u d u u b u u u f u demonetization blackmoney notebandi noteban,Negative
2453,0,rt demonetization announcements by t co heteyum ch,Neutral
2454,0,rt demonetization announcements by t co heteyum ch,Neutral
2455,0,rt demonetization announcements by t co heteyum ch,Neutral
2456,0,rt demonetization announcements by t co heteyum ch,Neutral
2457,0,rt demonetization announcements by t co heteyum ch,Neutral
2458,0,rt demonetization announcements by t co heteyum ch,Neutral
2459,0,rt demonetization announcements by t co heteyum ch,Neutral
2460,0,rt demonetization announcements by t co heteyum ch,Neutral
2461,0,rt demonetization announcements by t co heteyum ch,Neutral
2462,0,rt demonetization announcements by t co heteyum ch,Neutral
2463,0,rt demonetization announcements by t co heteyum ch,Neutral
2464,0,rt demonetization announcements by t co heteyum ch,Neutral
2465,0,rt demonetization announcements by t co heteyum ch,Neutral
2466,0,rt demonetization announcements by t co heteyum ch,Neutral
2467,0,rt demonetization announcements by t co heteyum ch,Neutral
2468,0,rt demonetization announcements by t co heteyum ch,Neutral
2469,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
2470,0,rt demonetization announcements by t co heteyum ch,Neutral
2471,0,rt demonetization announcements by t co heteyum ch,Neutral
2472,0,rt demonetization announcements by t co heteyum ch,Neutral
2473,0,rt demonetization announcements by t co heteyum ch,Neutral
2474,0,rt demonetization announcements by t co heteyum ch,Neutral
2475,0,rt demonetization announcements by t co heteyum ch,Neutral
2476,0,rt demonetization announcements by t co heteyum ch,Neutral
2477,0,rt demonetization announcements by t co heteyum ch,Neutral
2478,0,rt demonetization announcements by t co heteyum ch,Neutral
2479,0,rt demonetization announcements by t co heteyum ch,Neutral
2480,0,rt demonetization announcements by t co heteyum ch,Neutral
2481,-1,rt man ends life over fund shortage ahead of daughter  s wedding in gujarat demonetization t co uc jrbvune   ,Negative
2482,1,huge support for pm narendramodii   s demonetization move across the nation people back demonetization c   t co duhoplevgw,Positive
2483,0,rt demonetization announcements by t co heteyum ch,Neutral
2484,0,rt demonetization announcements by t co heteyum ch,Neutral
2485,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2486,0,delhi high court has refused to intervene in demonetization debate at a stage when supreme court is hearing petitions on the subject,Neutral
2487,-2,rt per c voter on demonetization approximately not inconvenienced good idea poor implementation bad idea poor  ,Negative
2488,0,rt demonetization announcements by t co heteyum ch,Neutral
2489,0,rt joined the line of opposition mps demonstrating solidarity on demonetization amp demanding that address parliame  ,Neutral
2490,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2491,0,rt demonetization announcements by t co heteyum ch,Neutral
2492,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2493,0,rt demonetization announcements by t co heteyum ch,Neutral
2494,0,rt demonetization announcements by t co heteyum ch,Neutral
2495,0,rt demonetization announcements by t co heteyum ch,Neutral
2496,0,rt demonetization announcements by t co heteyum ch,Neutral
2497,0,rt demonetization announcements by t co heteyum ch,Neutral
2498,0,rt demonetization announcements by t co heteyum ch,Neutral
2499,0,rt demonetization announcements by t co heteyum ch,Neutral
2500,0,rt demonetization announcements by t co heteyum ch,Neutral
2501,0,rt demonetization announcements by t co heteyum ch,Neutral
2502,0,rt demonetization announcements by t co heteyum ch,Neutral
2503,0,rt demonetization announcements by t co heteyum ch,Neutral
2504,0,rt demonetization announcements by t co heteyum ch,Neutral
2505,0,rt demonetization announcements by t co heteyum ch,Neutral
2506,0,rt demonetization announcements by t co heteyum ch,Neutral
2507,0,rt demonetization announcements by t co heteyum ch,Neutral
2508,0,rt demonetization announcements by t co heteyum ch,Neutral
2509,0,rt demonetization announcements by t co heteyum ch,Neutral
2510,0,rt demonetization announcements by t co heteyum ch,Neutral
2511,0,rt demonetization announcements by t co heteyum ch,Neutral
2512,0,rt demonetization announcements by t co heteyum ch,Neutral
2513,0,rt demonetization announcements by t co heteyum ch,Neutral
2514,0,rt demonetization announcements by t co heteyum ch,Neutral
2515,0,rt demonetization announcements by t co heteyum ch,Neutral
2516,0,rt demonetization announcements by t co heteyum ch,Neutral
2517,0,rt demonetization announcements by t co heteyum ch,Neutral
2518,0,rt demonetization announcements by t co heteyum ch,Neutral
2519,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2520,2,is hidden clarification on demonetization rbi nabard cooperative bank funding announcement banks won t accept old notes from farmers,Positive
2521,0,rt demonetization announcements by t co heteyum ch,Neutral
2522,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2523,0,rt demonetization announcements by t co heteyum ch,Neutral
2524,0,demonetization announcements by t co heteyum ch,Neutral
2525,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2526,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2527,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2528,1,rt ratantata supports pm narendra modi for demonetization t co frthy ltth,Positive
2529,1,rt giving cash through mini atms to people in hinterland indiakadil helping rural people in demonetization  ,Positive
2530,-1,rt sanghi dms ban social media criticism of demonetization only nmapp with scripted answers is allowed i guess http  ,Negative
2531,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2532,0,rt joined the line of opposition mps demonstrating solidarity on demonetization amp demanding that address parliame  ,Neutral
2533,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2534,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
2535,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
2536,1,yeah who the heck loves smooth n steady today s youth are all for rock the boat n rollercoaster rides p demonetization,Positive
2537,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
2538,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2539,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2540,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2541,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2542,0,rt joined the line of opposition mps demonstrating solidarity on demonetization amp demanding that address parliame  ,Neutral
2543,-1,another wastage of money amp time just an excuse first dont execute later think of survey timepass govn bjp   t co webdpj zvt,Negative
2544,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2545,1,days before demonetization announcement ncbn sold his heritage shares clearly evident that he had prior knowledg     ,Positive
2546,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
2547,1,rt days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledge of the  ,Positive
2548,-1,rt man ends life over fund shortage ahead of daughter  s wedding in gujarat demonetization t co dgai cf y t  ,Negative
2549,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2550,2,a great write up by a liberal on demonetization an article by jayamohan worth reading t co vzfrwwwn,Positive
2551,2,rt demonetization taught me minimalism less stuff more happiness thank you prime minister insights,Positive
2552,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2553,4,the visionary political leader chandrababunaidu leading support eco system for an efficient running of   t co jp tfpyglf,Positive
2554,1,rt giving cash through mini atms to people in hinterland indiakadil helping rural people in demonetization  ,Positive
2555,2,rt demonetization reaction northeast youth from sonada s initiative has restored people s faith in the govern  ,Positive
2556,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2557,0,rt tackling demonetization new steps to help citizens fight the cash crunch t co exvhcctrgp t co ete  ,Neutral
2558,2,rt demonetization northeast reaction kurseong even though i support it they should have made money available st pu  ,Positive
2559,1,rt demonetization northeast reaction man from kurseong we are fully supportive of the initiative taken by   ,Positive
2560,1,rt demonetization northeast reaction in gorkhaland region we did not find anyone who did not support this initiative pe  ,Positive
2561,0,rt demonetization northeast reaction tourist in darjeeling government could have introduced smaller currencies a lot o  ,Neutral
2562,-1,rt demonetization northeast reaction tourist in darjeeling we can live with short term difficulties but our country ne  ,Negative
2563,1,rt demonetization northeast they are senior citizens they are not literate but they support this initiative i came to  ,Positive
2564,1,rt demonetization northeast reaction senior citizen we are happy everyone faces some trouble but we are very happy  ,Positive
2565,0,rt demonetization northeast reaction youth took excellent step end terrorism naxalism curb black money we s  ,Neutral
2566,0,rt demonetization northeast reaction senior citizen kalimpong its ok so what if we have to stand in line this was m  ,Neutral
2567,-1,rt demonetization northeast reaction senior citizen darjeeling though we are facing some inconvenience it is necessary  ,Negative
2568,1,rt demonetization northeast reaction small businessman it is our duty to support this initiative by standing in line w  ,Positive
2569,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2570,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2571,1,rt demonetization northeast reaction darjeeling manager we helped as many tourists as possible for the sake  ,Positive
2572,0,rt demonetization northeast reaction kurseong a student says this is a historical step taken by black mone  ,Neutral
2573,1,demonetization what would be effect on intelligence gathering is national security not compromised,Positive
2574,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2575,0,rt demonetization northeast reaction kalimpong a driver by profession says even though we face difficulties we support  ,Neutral
2576,-1,rt demonetization northeast reaction darjeeling small businessman has a message to opposition parties help the govt ins  ,Negative
2577,0,rt critical question was paytm informed about demonetization edict by pm it s clearly fishy and requires full disclosure amp   ,Neutral
2578,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2579,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2580,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2581,-1,rt where gory warnings fail cash crunch prevails cigarette sales down after demonetization t co xr ovbyzrd   ,Negative
2582,1,rt putting nation over party politics nitishkumar supports pm on demonetization t co uodwxdpmmg,Positive
2583,1,days before demonetization announcement sold his heritage shares clearly evident that he had prior knowledg   t co hmvmnzmqay,Positive
2584,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2585,0,rt demonetization finally no country at such a large scale has gone ahead with such a move give it to all us citizens  ,Neutral
2586,0,rt supreme court refuses to stay petitions against demonetization t co leaj iwvly t co qrw xke z,Neutral
2587,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2588,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2589,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2590,1,retweeted modi bharosa huge support for pm   s demonetization move across the t co kpcnzcwguu,Positive
2591,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2592,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2593,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2594,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2595,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2596,-1,rt bangalore s visits atms to see if media is lying about the note ban demonetization t co gmlpksrpx,Negative
2597,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2598,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2599,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2600,0,after demonetization every opposition party try to demoditization but on other side public in full favor of remoditization,Neutral
2601,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2602,0,rt tackling demonetization new steps to help citizens fight the cash crunch t co exvhcctrgp t co ete  ,Neutral
2603,1,thnks demonetization else v would ve nevr knwn the lve didi raga nd others hd in dere heart aprt rm blk money it hs bought love out,Positive
2604,-1,country is today moving cashless and saying no to black money can t understand why opposition is against   t co j g ej ph,Negative
2605,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2606,-2,sir pls do not blink on demonetization now this is now or never do or die may be even do and die as a last resort,Negative
2607,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
2608,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2609,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2610,-2,rt desperate times call for desperate measures demonetization frugalinnovation jugaad t co p ysgfgvk,Negative
2611,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2612,1,rt modibharosa huge support for pm narendramodi   s demonetization move across the nation people back dem   t co hcznbbppyy,Positive
2613,-1,rt where gory warnings fail cash crunch prevails cigarette sales down after demonetization t co xr ovbyzrd   ,Negative
2614,-1,govt must assess impact of demonetization on agriculture to arrest production and earnings loss    t co ika qevbvq,Negative
2615,1,rt demonetization folks who used to do big ticket purchases like bikes cars using cash have vanished away,Positive
2616,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2617,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2618,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2619,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2620,-3,rt bharat bandh called by united opposition on nov demonetization they are protesting against a problem by creating a  ,Negative
2621,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2622,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2623,-1,someone did a press conference for minutes on demonetization how much black money lost for this guy one lakh crore,Negative
2624,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2625,1,rt huge support for pm   s demonetization move across the nation people back demonetization c voter su  ,Positive
2626,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
2627,1,rt putting nation over party politics nitishkumar supports pm on demonetization t co uodwxdpmmg,Positive
2628,0,rt demonetizationeffect marks the return of jugaad t co ajzrwrvs demonetization blackmoney t co tadwhl  ,Neutral
2629,0,the effects of india s currency reform chaos say analysts t co g fc ce demonetization,Neutral
2630,1,rt the mic of a bsp leader was snatched away from him as he started praising modiji for his demonetization move during mayawati  ,Positive
2631,1,rt retaining all seats of ls and state in byelection by bjp has proved the people s support on demonetization it should be abov  ,Positive
2632,0,rt government demonetization process t co k bxavmy,Neutral
2633,-2,rt demonetization should only be implemented in times of crisis india has implemented in a time otherwise and chaos will e  ,Negative
2634,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
